,Area,Room,Predicted Precies
745,0.9746142343512583,1.0088122342283339,552256.7665089379
311,1.1187636059650865,-0.2899950769890354,629376.0286951277
236,1.342940658896748,1.0088122342283339,587733.2864073148
353,-2.2771494469832194,-2.510320840804951,425176.933012857
568,-1.1057972529403874,-1.2115135295875816,465986.0920743475
849,0.22813614905924418,-0.2899950769890354,541412.4938808078
207,0.8986014674984165,1.93033068682688,505580.9101099536
257,2.0464424734304427,2.6451159300014666,578943.7746176281
471,-1.2752723459641087,-1.2115135295875816,452826.2548945862
604,0.7376746084972905,0.4247901661855499,556564.507997568
67,0.3526685068443946,-0.2899950769890354,552930.223697151
240,0.8357203982432074,0.4247901661855499,565865.4211111546
572,-0.4487342602150721,-0.2899950769890354,482879.1717519809
861,-0.3616620517195948,-0.2899950769890354,490038.8819148793
670,0.7708739805245827,1.0088122342283339,533561.2134933809
448,-0.070432256430386,-0.2899950769890354,514766.2204259351
447,-1.4121296206603842,-1.2115135295875816,442470.94070123165
115,-0.7005479030616304,-0.2899950769890354,462756.5281340188
709,-0.3616620517195948,-0.2899950769890354,490038.8819148793
561,-0.9491253874901026,-0.2899950769890354,443715.0948190991
145,0.3526685068443946,0.4247901661855499,521496.9706370701
68,-0.3616620517195948,-1.2115135295875816,528446.1530652256
368,-0.7005479030616304,-1.2115135295875816,499025.5227930985
372,-0.8750133490821377,-1.2115135295875816,484523.73599325283
40,-1.1468860507659364,-0.2899950769890354,429127.5240619658
30,0.2704828532495523,-0.2899950769890354,545301.8753096117
417,-0.9117384933853528,-1.2115135295875816,481525.2038406598
217,0.2066342314073909,1.0088122342283339,485023.5113174635
218,-0.47858968875451063,-0.2899950769890354,480448.40186727565
80,-0.5088809783364342,0.4247901661855499,450821.364322466
322,-0.2780970744781855,0.4247901661855499,468755.7333267377
679,-0.2780970744781855,-0.2899950769890354,497010.01206204377
564,0.11832658584944163,-0.2899950769890354,531455.6562740844
260,0.09564967723514979,-0.2899950769890354,529422.3810816933
782,-0.47858968875451063,-0.2899950769890354,480448.40186727565
23,-0.2780970744781855,-0.2899950769890354,497010.01206204377
367,-0.9871983178005136,-1.2115135295875816,475422.17484408995
414,-1.4598309510097993,-1.2115135295875816,438917.54915328755
64,-0.3616620517195948,-0.2899950769890354,490038.8819148793
201,-0.6346720055475779,-0.2899950769890354,467938.28283385735
66,-0.9491253874901026,-0.2899950769890354,443715.0948190991
542,-0.30557981381096855,-1.2115135295875816,533479.578178552
386,0.1629501655948122,-0.2899950769890354,535479.5618317069
143,-0.6673485310343382,-1.2115135295875816,501833.8598355021
374,1.1872489146196816,0.4247901661855499,600508.6177558945
220,0.6347650977156355,-0.2899950769890354,579935.0351628715
560,-0.19776769494105603,-0.2899950769890354,503804.6895960425
810,0.2704828532495523,-0.2899950769890354,545301.8753096117
415,-1.4598309510097993,-1.2115135295875816,438917.54915328755
600,-0.6025021133157136,-0.2899950769890354,470489.79133481963
352,0.3119825663126309,-0.2899950769890354,549140.5702561883
431,-1.2315882801515292,-1.2115135295875816,456182.3681215173
623,-0.17166777237729708,-0.2899950769890354,506032.2896055233
719,-0.19776769494105603,-0.2899950769890354,503804.6895960425
843,-2.8503521322193044,-2.510320840804951,385913.73382483
254,1.3050991878408706,1.0088122342283339,583985.8234309471
427,-0.4487342602150721,-0.2899950769890354,482879.1717519809
88,0.7543406939632663,1.0088122342283339,532072.1469702697
264,1.1464295689710085,1.0088122342283339,568531.0599955121
580,-0.4193023272348393,-0.2899950769890354,485287.4989017069
401,-0.9871983178005136,-0.2899950769890354,440868.6595465229
638,-1.2315882801515292,-1.2115135295875816,456182.3681215173
126,-0.22420010953102554,0.4247901661855499,473045.84114384785
181,0.2704828532495523,0.4247901661855499,514302.28161803616
828,0.6522750453847098,0.4247901661855499,548587.9112245996
174,0.45102419375840735,0.4247901661855499,530239.6359884504
327,0.7543406939632663,1.0088122342283339,532072.1469702697
50,-0.12043266345282941,-0.2899950769890354,510433.8359643765
100,3.622469407410636,3.722921620814969,691840.9804022913
161,1.3801043356934313,-0.2899950769890354,657802.4702982822
249,1.8109386766318476,1.0088122342283339,636116.3017301554
519,-1.4121296206603842,-1.2115135295875816,442470.94070123165
627,-0.6025021133157136,-0.2899950769890354,470489.79133481963
859,-1.508654767989306,-2.510320840804951,484156.47850473534
34,-0.30557981381096855,-0.2899950769890354,494706.48024302826
31,2.265947075301824,0.4247901661855499,720622.1828557891
631,-1.2752723459641087,-1.2115135295875816,452826.2548945862
786,-0.7342871258751402,-1.2115135295875816,496187.62049732695
345,-1.609890283936217,-1.2115135295875816,427924.2726439081
398,-1.7716539715371609,-1.2115135295875816,416381.73092207854
219,-0.19776769494105603,-0.2899950769890354,503804.6895960425
